Model Group 3: AOPs modeled using Ecolight and correlated

  Ecolight IOPs parameterized using in situ ac-s and ECO-VSF-3 data
  
  AOP score range: [0.00746 2.81877]
  
  Variance explained by 1st principal component
  AOP: 99.9995%

wl,K_coef,K_min,bbd_coef,bbd_min

wl,K_coef,K_min,bbd_coef,bbd_min
390.3468145,0.208739383710772,0.0221648127237724,0.0112981419583208,0.00975077245898031
393.1778586,0.208704015392617,0.020732041538997,0.0113829694474884,0.00949817740891526
396.0089588,0.207553046356355,0.0199787169871406,0.011414476767017,0.00932300829766876
398.8401154,0.206422532750448,0.018812425416977,0.0111858618291028,0.00950059369859451
401.6713281,0.204828717340617,0.0176281809080564,0.0113450277987018,0.00918335584645329
404.5025971,0.201180412064688,0.0181154211300403,0.0111428686090433,0.00935965200860103
407.3339224,0.194984286322373,0.0205693851352124,0.0110214673602638,0.00944909157940434
410.1653038,0.187902933194862,0.0234760228285738,0.0110549949273313,0.00936172174776055
412.9967416,0.181121661645324,0.0260198377368687,0.011087301266865,0.00927895800749686
415.8282355,0.175673344597545,0.0274303988697752,0.0111134490283321,0.00919819173996929
418.6597857,0.170599750243026,0.0289215239321927,0.0111344466979222,0.00912268809183538
421.4913922,0.165743721060141,0.0305876651451528,0.0111510229865276,0.00905254143458327
424.3230548,0.160694831206054,0.0323041697301008,0.0111665939828181,0.00899172992703719
427.1547738,0.155551318689991,0.0339011150389682,0.0111805172267553,0.00893839229665513
429.9865489,0.150856534607288,0.0347054883126158,0.0111949151003022,0.00889235231719822
432.8183803,0.146304776867328,0.0353777215494328,0.0112102681317542,0.00885060436140094
435.650268,0.141739718219203,0.036377093638537,0.0112260020736882,0.00881152216765205
438.4822118,0.137102013060732,0.037747181592741,0.0112392623021666,0.00877499181478036
441.314212,0.132190170397753,0.0397082294709915,0.0112493486596563,0.00874076276272396
444.1462683,0.127872162906107,0.04151806717477,0.0112578311857651,0.00870569237221155
446.9783809,0.123981161084073,0.043169457682013,0.0112649783082411,0.00867041909399026
449.8105498,0.120033252784339,0.0447368655643173,0.0112741908702294,0.0086369127916181
452.6427748,0.116371327992304,0.0457881160664245,0.0112822916859593,0.00860972861969395
455.4750562,0.11294838705063,0.0461256408826846,0.01128871620974,0.00859308152298553
458.3073937,0.10983293443756,0.0461050128405055,0.0112954383770983,0.00857863345091884
461.1397875,0.107091987323496,0.0457964290588681,0.0113031300264684,0.00856417579401121
463.9722376,0.104281349860168,0.0458575940086098,0.0113078522926415,0.00855227480452634
466.8047438,0.101401959823881,0.0462542351698045,0.0113072531671322,0.00854321251029131
469.6373064,0.099316897529033,0.0458693718015054,0.0112937024816369,0.00852619538247856
472.4699251,0.0972374099018995,0.0457589391736331,0.0112587916065806,0.00849856098611116
475.3026001,0.094795646596708,0.0465157438172152,0.0112079917666596,0.00845899680237048
478.1353314,0.0923893508793903,0.0474481464780245,0.0111503660214843,0.00841685436912363
480.9681188,0.0900941764859103,0.0483802900719487,0.0110945347957836,0.00837882160662818
483.8009626,0.087948355585402,0.0491549787418488,0.0110371248061386,0.00834298482522494
486.6338625,0.0860550693438591,0.0496110398506309,0.0109780223568498,0.00830917253592127
489.4668187,0.0841378496808519,0.0504357825187737,0.0109200339390245,0.00827091022940165
