Model Group 1: In situ AOPs

  Kd from PRR-800 (Hochberg et al. 2020)
  bb from ECO-VSF-3
  
  Kd score range: [0.01688 3.17231]
  bb score range: [0 0.41123]
  
  Variance explained by 1st principal component
  Kd: 95.6%
  bb: 99.9%

wl,Kd_coef,Kd_SmithBaker,bb_coef,bb_min
390.3468145,0.172214841588349,0.0232028030965223,0.117756794120375,0.000474269551755291
393.1778586,0.168417501851954,0.0224269896969068,0.117241125194136,0.000473427480713506
396.0089588,0.165177680604045,0.0217154274521627,0.116727780765303,0.000472586888132174
398.8401154,0.162266609950264,0.0211086717942706,0.116216749985449,0.000471747771360272
401.6713281,0.159551293405612,0.0206367167485167,0.115708022171738,0.000470910127930485
404.5025971,0.156970107353251,0.0202562871716599,0.11520158657262,0.000470073955224413
407.3339224,0.154461440898608,0.019918959896897,0.114697432524193,0.000469239250687369
410.1653038,0.151963671126644,0.0195795931999994,0.114195549449215,0.000468406011827872
412.9967416,0.149421273469685,0.0192333362445078,0.113695926732816,0.000467574236011664
415.8282355,0.146864258313542,0.01889574746919,0.113198553944419,0.000466743920792086
418.6597857,0.144311206241605,0.0185600801075978,0.112703420613179,0.000465915063579439
421.4913922,0.141764269245384,0.0182048593561137,0.112210516328222,0.000465087661840867
424.3230548,0.13922571745062,0.0177903538411618,0.111719830763289,0.000464261713106157
427.1547738,0.136697605949784,0.0174167322185061,0.111231353555225,0.000463437214763585
429.9865489,0.134182313326863,0.0172004956468191,0.110745074494317,0.000462614164380666
432.8183803,0.131681809824763,0.0171228582860096,0.11026098336307,0.000461792559391068
435.650268,0.129198386845306,0.0170717365825494,0.109779070019329,0.00046097239728907
438.4822118,0.126734255236575,0.0170275534129856,0.109299324381689,0.00046015367562555
441.314212,0.124291548127742,0.0169707456448371,0.108821736332578,0.000459336391811128
444.1462683,0.121866458073342,0.0168969648115391,0.108346295904167,0.000458520543434041
446.9783809,0.11941396319546,0.0168309925905016,0.10787299309285,0.000457706127942662
449.8105498,0.116944814764898,0.0168001053665873,0.107401818006515,0.00045689314285512
452.6427748,0.114487449943486,0.0169380857234292,0.106932760821609,0.000456081585748058
455.4750562,0.112065269364019,0.0172568153027518,0.106465811660148,0.000455271454054252
458.3073937,0.109705138722392,0.0175390822460495,0.106000960790451,0.000454462745382525
461.1397875,0.107433422936472,0.0175962964845058,0.105538198445357,0.00045365545720297
463.9722376,0.105275497191995,0.017565194289232,0.105077514938098,0.000452849587047374
466.8047438,0.103237600246271,0.0175240725122306,0.104618900690518,0.000452045132516355
469.6373064,0.101258583551615,0.0175002875142359,0.104162346075216,0.000451242091069043
472.4699251,0.0993359515148623,0.0177050288782029,0.103707841590896,0.000450440460334671
475.3026001,0.0974612788255381,0.0182917676797366,0.103255377701484,0.000449640237804977
478.1353314,0.0956352092067539,0.0189981416219954,0.102804944948764,0.000448841421032671
480.9681188,0.0938554603669054,0.0195699928087178,0.102356533952273,0.000448044007631153
483.8009626,0.0921199107949751,0.0200053506438998,0.101910135326875,0.00044724799508512
486.6338625,0.0904262887500975,0.0204558368915368,0.101465739811366,0.000446453381048113
489.4668187,0.0887725284239422,0.0210573754684294,0.101023338095133,0.000445660163033327
492.2998312,0.0871765864829525,0.0220670235238423,0.100582920943586,0.000444868338614395
495.1328998,0.0856571943147925,0.0236546330733436,0.10014447919724,0.000444077905424877
497.9660248,0.0841877743233804,0.025603684589922,0.0997080036641251,0.000443288860963234
500.7992059,0.0827388557906784,0.0277174810007805,0.0992734853173916,0.000442501202907155
503.6324433,0.081282171581647,0.0302507809625973,0.0988409150807469,0.000441714928794996
506.465737,0.0797878287338759,0.033164416534,0.0984102839377892,0.000440930036221131
509.2990868,0.0782273590678425,0.0362368357890122,0.0979815829454532,0.000440146522839335
512.132493,0.0765161557762245,0.0396470593168975,0.097554803127918,0.000439364386169232
514.9659553,0.0746364856771818,0.0436547707568286,0.0971299356435709,0.000438583623900598
517.7994739,0.0728308052901526,0.0471940200428082,0.0967069716457949,0.000437804233597036
520.6330488,0.0713427906358873,0.0491894710731487,0.0962859023449222,0.000437026212877308
523.4666798,0.0700653596695613,0.0501483169352707,0.0958667190090459,0.000436249559415233
526.3003672,0.0689148377972133,0.0508389564502956,0.0954494128741475,0.000435474270751667
529.1341107,0.0679217529978472,0.0516004645149441,0.0950339753064498,0.000434700344595867
531.9679105,0.0671145290931391,0.0526780486036705,0.0946203976408352,0.000433927778524623
534.8017666,0.0664834138519738,0.0539588748286899,0.0942086713096485,0.00043315657018111
537.6356788,0.0659706606125934,0.0554288898330748,0.0937987878007975,0.000432386717262892
540.4696474,0.0655374553121842,0.0570972284016751,0.0933907385569213,0.000431618217331878
543.3036721,0.0651450973648165,0.0592010044077038,0.092984515147915,0.00043085106811689
546.1377531,0.0647547369826226,0.0616199028510807,0.092580109112181,0.000430085267215239
548.9718904,0.0643274697256461,0.0640082491707195,0.0921775120578364,0.000429320812282733
551.8060838,0.0638244932394387,0.0660835044821989,0.0917767156866598,0.000428557701040321
554.6403336,0.0632076296390396,0.0679644672671294,0.0913777116570636,0.000427795931074827
557.4746395,0.0623690969635203,0.0698532535284282,0.0909804917376691,0.000427035500134472
560.3090017,0.0614511855740318,0.0719360404583208,0.0905850476662253,0.000426276405837132
563.1434202,0.0605652383256872,0.0740382004611633,0.0901913712479909,0.000425518645858498
565.9778948,0.0598836327219937,0.07629583449928,0.089799454355264,0.000424762217931696
568.8124258,0.0593524195365472,0.0791879361417958,0.089409288853868,0.000424007119667359
